sl.no,spi,Approximation,D 1,D 2,D 3,D 4,D 5,D 6
367,0.49,-0.04,0.15,0.24,0,0.54,-0.06,-0.23
368,0.64,-0.04,0.16,-0.18,0.02,0.66,-0.02,-0.2
369,1.2,-0.05,-0.12,-0.52,0.03,0.64,0.01,-0.16
370,1.33,-0.05,0.11,-0.24,0.07,0.48,-0.01,-0.13
371,1.68,-0.06,-0.04,0.03,0.11,0.3,-0.07,-0.12
372,0.93,-0.06,0.36,0,0.02,0.12,-0.17,-0.12
373,0.64,-0.05,-0.06,0.09,-0.15,-0.04,-0.26,-0.12
374,-0.03,-0.04,0.09,0.33,-0.36,-0.19,-0.3,-0.12
375,-0.43,-0.04,-0.06,0.47,-0.56,-0.31,-0.3,-0.09
376,-1.2,-0.04,0.1,0.37,-0.53,-0.38,-0.23,-0.04
377,-0.43,-0.05,-0.49,0.24,-0.38,-0.37,-0.12,0.01
378,-0.22,-0.05,0.05,0.13,-0.08,-0.31,0.01,0.06
379,0.49,-0.06,-0.12,-0.25,0.34,-0.28,0.11,0.1
380,-0.22,-0.07,0.44,-0.62,0.68,-0.31,0.18,0.14
381,0.33,-0.07,-0.3,-0.49,0.94,-0.38,0.22,0.17
382,0.15,-0.08,0.13,-0.01,0.95,-0.44,0.25,0.19
383,0.64,-0.07,-0.16,0.22,0.68,-0.52,0.25,0.19
384,-0.44,-0.07,0.47,0.04,0.26,-0.57,0.25,0.18
385,-1.54,-0.06,0.15,-0.08,-0.22,-0.61,0.24,0.17
386,-1.93,-0.05,-0.24,0.24,-0.55,-0.58,0.25,0.17
387,-1.93,-0.04,-0.2,0.68,-0.67,-0.47,0.28,0.18
388,-0.66,-0.04,-0.47,0.53,-0.57,-0.24,0.32,0.2
389,-0.03,-0.03,0.1,-0.14,-0.33,0.01,0.37,0.23
390,0.93,-0.03,-0.05,-0.76,0.04,0.24,0.4,0.25
391,0.49,-0.03,0.45,-0.93,0.45,0.43,0.43,0.28
392,0.15,-0.03,0.09,-0.57,0.74,0.55,0.42,0.29
393,0.79,-0.03,-0.34,0.14,0.78,0.65,0.36,0.31
394,0.79,-0.02,0.13,0.61,0.38,0.68,0.24,0.31
395,0.64,-0.01,0.11,0.33,-0.24,0.62,0.13,0.29
396,-0.92,0.01,0.5,-0.12,-0.83,0.49,-0.01,0.26
397,-0.92,0.03,-0.4,0.07,-1.09,0.33,-0.13,0.23
398,-1.93,0.05,0.2,0.54,-0.92,0.24,-0.24,0.2
399,-3.22,0.07,0.19,0.5,-0.55,0.25,-0.34,0.18
400,-2.44,0.08,-0.68,0.25,-0.11,0.27,-0.41,0.18
401,-1.53,0.09,-0.23,0.3,0.19,0.25,-0.46,0.17
402,-0.43,0.1,-0.08,-0.13,0.51,0.15,-0.47,0.17
403,0.15,0.11,0.16,-0.96,0.81,0.06,-0.47,0.18
404,0.64,0.11,0.08,-1.04,1.1,-0.05,-0.46,0.19
405,0.33,0.12,0.28,-0.56,1.26,-0.14,-0.44,0.19
406,0.15,0.13,0.03,-0.05,0.91,-0.29,-0.43,0.18
407,0.15,0.14,-0.07,0.41,0.31,-0.49,-0.46,0.16
408,1.2,0.16,-0.38,0.62,-0.54,-0.64,-0.46,0.13
409,1.33,0.19,0.22,0.34,-1.27,-0.65,-0.45,0.1
410,0.64,0.2,0.36,-0.24,-1.46,-0.45,-0.41,0.09
411,-0.66,0.22,0.28,-0.41,-1.25,-0.21,-0.35,0.09
412,-1.93,0.24,0.05,0.17,-0.73,0.11,-0.25,0.11
413,-1.54,0.26,-0.57,0.85,-0.21,0.39,-0.15,0.13
414,-1.21,0.27,-0.13,0.89,0.04,0.62,-0.01,0.14
415,-0.03,0.27,-0.28,0.17,0.14,0.75,0.14,0.16
416,0.33,0.27,0.2,-0.68,0.27,0.76,0.28,0.18
417,0.49,0.27,0.14,-0.97,0.59,0.6,0.36,0.19
418,0.49,0.27,0.07,-0.67,1.01,0.27,0.39,0.19
419,0.15,0.28,0.13,-0.1,1.18,-0.06,0.36,0.17
420,0.33,0.29,-0.15,0.31,0.94,-0.44,0.31,0.15
421,-0.03,0.3,0.14,0.4,0.26,-0.77,0.26,0.13
422,-0.03,0.3,-0.07,0.27,-0.52,-0.99,0.23,0.12
423,-0.22,0.31,0.03,0.11,-0.98,-1.02,0.23,0.11
424,-0.03,0.31,-0.11,0.07,-1.03,-0.87,0.24,0.12
425,-0.22,0.31,0.1,0.02,-0.65,-0.57,0.26,0.12
426,-0.43,0.31,0.04,-0.09,-0.21,-0.21,0.29,0.13
427,0.49,0.29,-0.38,-0.03,0.15,0.06,0.32,0.13
428,1.79,0.27,-0.23,0.08,0.34,0.28,0.34,0.13
429,1.9,0.26,0.37,-0.23,0.38,0.45,0.35,0.11
430,1.57,0.25,0.26,-0.7,0.38,0.57,0.3,0.09
431,0.79,0.24,0.19,-0.45,0.3,0.55,0.19,0.07
432,1.07,0.24,-0.32,0.34,0.17,0.41,0.06,0.04
433,0.79,0.25,0.09,0.74,-0.13,0.19,-0.04,0.02
434,0.15,0.25,0.17,0.42,-0.47,-0.02,-0.09,0.02
435,-0.92,0.26,0.18,0,-0.68,-0.14,-0.08,0.02
436,-2.44,0.28,0.19,0.07,-0.69,-0.18,-0.05,0.02
437,-0.22,0.29,-1.24,0.5,-0.38,-0.14,-0.03,0.03
438,0.64,0.29,0.12,0.58,0.04,-0.12,-0.03,0.05
439,1.45,0.29,0.14,-0.42,0.51,-0.09,-0.04,0.06
440,0.93,0.29,0.46,-1.41,0.85,-0.07,-0.04,0.07
441,-0.03,0.28,0.27,-0.96,1.03,-0.11,-0.04,0.06
442,-0.92,0.28,0.02,0.13,1.05,-0.16,-0.06,0.03
443,-0.22,0.28,-0.55,0.9,0.59,-0.21,-0.11,0
444,0.64,0.29,-0.2,0.98,-0.02,-0.23,-0.21,-0.05
445,0.49,0.31,0.33,0.13,-0.69,-0.27,-0.32,-0.08
446,-0.43,0.32,0.36,-0.75,-1.11,-0.31,-0.37,-0.1
447,-0.92,0.34,-0.08,-0.55,-0.82,-0.28,-0.37,-0.1
448,0.15,0.35,-0.57,0.33,-0.29,-0.15,-0.33,-0.1
449,0.79,0.35,0,0.61,0.2,0.14,-0.28,-0.1
450,0.79,0.35,0.26,-0.09,0.43,0.45,-0.24,-0.1
451,0.15,0.34,0.28,-0.7,0.27,0.57,-0.21,-0.1
452,-0.66,0.32,0.12,-0.38,0.08,0.56,-0.2,-0.11
453,-0.44,0.31,-0.34,0.34,0.02,0.52,-0.18,-0.11
454,-0.03,0.31,-0.16,0.67,-0.01,0.54,-0.15,-0.11
455,0.79,0.31,-0.16,0.33,-0.07,0.52,-0.15,-0.11
456,0.64,0.32,0.29,-0.32,-0.19,0.4,-0.19,-0.12
457,0.15,0.33,0.2,-0.62,-0.23,0.11,-0.27,-0.12
458,-0.43,0.34,0.06,-0.31,-0.06,-0.19,-0.34,-0.1
459,-0.92,0.34,-0.02,0.27,0.15,-0.23,-0.36,-0.08
460,-0.92,0.34,-0.18,0.56,0.25,-0.13,-0.32,-0.03
461,-0.66,0.34,-0.13,0.42,0.09,-0.03,-0.24,0.02
462,-0.43,0.33,-0.01,0.06,-0.17,-0.08,-0.17,0.06
463,0.15,0.31,-0.12,-0.29,-0.25,-0.16,-0.1,0.09
464,-0.43,0.29,0.36,-0.43,-0.08,-0.2,-0.04,0.11
465,-0.43,0.27,-0.09,-0.34,0.29,-0.09,0,0.11
466,-1.54,0.25,0.33,-0.03,0.5,0.04,0.02,0.09
467,-1.54,0.24,-0.28,0.32,0.44,0.01,0,0.07
468,-0.66,0.23,-0.4,0.5,0.12,-0.11,-0.03,0.04
469,-0.22,0.23,0.07,0.31,-0.25,-0.22,-0.05,0.01
470,0.33,0.22,0,-0.34,-0.36,-0.18,-0.04,-0.02
471,0.15,0.22,0.24,-0.7,-0.26,-0.05,0,-0.04
472,0.49,0.21,-0.11,-0.41,0.05,0.06,0.07,-0.04
473,0.49,0.19,0.07,0.02,0.29,0.1,0.17,-0.02
474,0.64,0.17,-0.02,0.2,0.23,0.1,0.28,0.01
475,0.93,0.15,-0.06,0.17,0,0.13,0.35,0.03
476,1.2,0.12,-0.01,0.09,-0.39,0.21,0.4,0.04
477,1.45,0.09,0.01,-0.01,-0.6,0.28,0.4,0.04
478,0.64,0.07,0.36,-0.13,-0.57,0.31,0.38,0.02
479,0.15,0.05,-0.01,-0.07,-0.4,0.27,0.32,-0.01
480,-0.44,0.04,0,0.26,-0.16,0.24,0.25,-0.05
481,0.33,0.03,-0.46,0.56,-0.07,0.18,0.18,-0.08
482,0.79,0.02,-0.02,0.39,-0.04,0.1,0.14,-0.09
483,0.61,0.01,0.25,-0.21,0,0,0.17,-0.08
484,0.69,0,-0.03,-0.6,0.17,-0.1,0.21,-0.07
485,0.68,-0.02,0.01,-0.32,0.42,-0.22,0.23,-0.07
486,1.18,-0.03,-0.17,0.1,0.62,-0.36,0.23,-0.08
487,1.75,-0.04,-0.07,0.14,0.6,-0.48,0.21,-0.1
488,1.79,-0.06,0.17,-0.07,0.35,-0.62,0.19,-0.12
489,1.49,-0.08,0.16,-0.27,0.05,-0.68,0.18,-0.15
490,0.83,-0.09,0.15,-0.16,-0.25,-0.67,0.18,-0.21
